816
0, 803
0, 779
0, 774
0, 780
0, 774
0, 779
0, 793
0, 789
0, 787
0, 769
0, 752
0, 718
0, 831
0, 945
0, 1002
0, 943
0, 758
0, 615
0, 605
0, 621
0, 645
0, 698
0, 731
0, 716
0, 694
0, 686
0, 686
0, 695
0, 720
0, 724
0, 707
0, 697
0, 678
0, 682
0, 697
0, 713
0, 721
0, 707
0, 636
0, 628
0, 675
0, 758
0, 791
0, 753
0, 714
0, 709
0, 728
0, 744
0, 747
0, 744
0, 721
0, 727
0, 728
0, 724
0, 714
0, 706
0, 703
0, 709
0, 711
0, 712
0, 702
0, 690
0, 688
0, 692
0, 701
0, 711
0, 711
0, 708
0, 700
0, 699
0, 691
0, 693
0, 699
0, 710
0, 715
0, 720
0, 713
0, 703
0, 692
0, 697
0, 698
0, 706
0, 706
0, 706
0, 698
0, 691
0, 693
0, 698
0, 710
0, 721
0, 721
0, 708
0, 702
0, 701
0, 704
0, 700
0, 706
0, 710
0, 707
0, 704
0, 701
0, 695
0, 698
0, 702
0, 704
0, 700
0, 695
0, 691
0, 690
0, 705
0, 722
0, 750
0, 722
0, 642
1, 985
2, 1489
3, 1544
5, 1528
6, 1537
8, 1583
10, 1707
11, 1749
12, 1722
14, 1666
15, 1650
16, 1570
17, 1428
18, 1410
19, 1291
19, 1137
18, 1126
18, 1102
18, 1041
17, 1037
17, 1012
17, 1067
16, 1420
16, 1644
17, 1736
17, 1741
18, 1759
19, 1732
20, 1494
21, 1330
21, 1180
21, 1130
21, 1164
21, 1143
21, 1178
21, 1218
22, 1254
23, 1259
23, 1260
24, 1252
24, 1248
25, 1240
25, 1241
25, 1253
26, 1224
26, 1241
27, 1213
27, 1179
27, 1165
27, 1153
27, 1152
27, 1139
27, 1138
27, 1132
27, 1134
27, 1175
27, 1155
26, 1157
26, 1175
26, 1151
25, 1173
25, 1171
24, 1110
24, 1019
23, 1021
23, 1037
23, 1043
22, 1027
21, 1035
20, 1004
19, 987
18, 986
17, 972
15, 958
14, 935
12, 901
10, 861
9, 845
8, 717
7, 671
6, 638
5, 617
4, 631
3, 667
2, 704
2, 1069
2, 1857
4, 2193
8, 1838
11, 1522
12, 1461
12, 1705
13, 1825
14, 1805
16, 1698
17, 1640
18, 1524
19, 1440
20, 1405
21, 1397
22, 1362
23, 1346
24, 1321
25, 1290
25, 1233
26, 1192
26, 1162
26, 1141
26, 1134
26, 1139
26, 1132
26, 1148
26, 1175
27, 1183
27, 1184
27, 1188
28, 1203
28, 1205
29, 1243
29, 1273
30, 1356
31, 1458
32, 1637
33, 1884
34, 2117
35, 2215
36, 2300
38, 2318
40, 2264
41, 2168
42, 2061
43, 1896
44, 1746
45, 1690
46, 1615
47, 1584
47, 1571
48, 1538
48, 1542
49, 1534
49, 1547
50, 1535
50, 1537
51, 1543
51, 1545
52, 1539
52, 1532
53, 1542
53, 1537
54, 1540
54, 1535
54, 1537
55, 1486
55, 1460
56, 1418
56, 1403
57, 1393
57, 1376
57, 1371
58, 1366
58, 1375
58, 1370
58, 1366
59, 1364
59, 1359
59, 1360
59, 1363
60, 1366
60, 1362
60, 1364
60, 1373
60, 1376
61, 1366
61, 1377
61, 1382
61, 1378
62, 1367
62, 1379
62, 1376
62, 1368
62, 1376
63, 1380
63, 1371
63, 1366
63, 1377
63, 1367
64, 1364
64, 1358
64, 1366
64, 1383
64, 1372
64, 1361
64, 1367
65, 1378
65, 1365
65, 1380
65, 1375
65, 1381
65, 1377
65, 1375
66, 1372
66, 1378
66, 1379
66, 1374
66, 1380
66, 1372
66, 1376
67, 1383
67, 1398
67, 1413
67, 1448
67, 1452
68, 1474
68, 1478
68, 1474
68, 1476
68, 1482
69, 1491
69, 1473
69, 1466
69, 1364
69, 1294
69, 1242
69, 1229
69, 1217
69, 1195
68, 1188
68, 1182
68, 1187
68, 1193
67, 1198
67, 1189
67, 1195
67, 1201
67, 1201
67, 1217
67, 1209
68, 1215
68, 1208
68, 1205
67, 1199
67, 1185
67, 1177
67, 1190
67, 1260
66, 1282
66, 1293
66, 1286
65, 1299
65, 1300
65, 1289
64, 1289
64, 1302
63, 1290
62, 1300
62, 1290
61, 1291
60, 1290
60, 1293
59, 1300
59, 1290
58, 1295
58, 1292
58, 1286
57, 1281
57, 1306
56, 1252
56, 1219
56, 1201
56, 1211
56, 1248
56, 1287
57, 1296
57, 1350
57, 1399
57, 1501
57, 1575
58, 1675
58, 1782
59, 1851
59, 1913
60, 1958
60, 1975
61, 2004
62, 2006
62, 2015
63, 2023
64, 2016
64, 2033
65, 2036
66, 2005
66, 1971
67, 1899
67, 1824
68, 1765
68, 1711
69, 1664
69, 1635
69, 1549
69, 1407
69, 1316
69, 1243
68, 1198
68, 1179
68, 1172
68, 1170
67, 1169
67, 1173
67, 1184
67, 1190
67, 1228
67, 1310
67, 1344
67, 1351
68, 1360
68, 1369
68, 1360
68, 1338
68, 1269
68, 1224
68, 1219
68, 1208
68, 1199
68, 1184
68, 1185
68, 1179
67, 1177
67, 1183
67, 1178
67, 1178
67, 1174
67, 1172
66, 1168
66, 1166
66, 1166
66, 1163
66, 1157
66, 1156
65, 1156
65, 1152
65, 1152
65, 1142
65, 1162
65, 1180
65, 1212
65, 1226
65, 1224
65, 1238
65, 1246
65, 1236
65, 1248
65, 1246
65, 1259
65, 1265
65, 1260
65, 1256
66, 1253
66, 1262
66, 1252
66, 1263
66, 1251
66, 1266
66, 1256
66, 1257
66, 1268
66, 1264
66, 1269
66, 1280
66, 1249
66, 1204
66, 1216
66, 1266
66, 1290
65, 1291
65, 1292
65, 1281
64, 1285
64, 1273
64, 1253
64, 1196
63, 1174
63, 1168
63, 1170
63, 1170
63, 1178
63, 1162
63, 1177
63, 1180
63, 1189
63, 1196
63, 1204
63, 1202
63, 1212
63, 1239
63, 1272
63, 1328
63, 1351
63, 1364
63, 1359
64, 1374
64, 1406
64, 1435
64, 1449
65, 1459
65, 1460
65, 1462
65, 1467
66, 1461
66, 1385
66, 1275
66, 1224
66, 1200
65, 1186
65, 1173
65, 1167
65, 1155
65, 1157
64, 1151
64, 1151
64, 1147
64, 1141
63, 1147
63, 1139
63, 1150
63, 1145
62, 1149
62, 1175
62, 1214
62, 1264
62, 1295
63, 1322
63, 1339
63, 1352
63, 1356
63, 1349
63, 1366
64, 1360
64, 1352
64, 1342
64, 1310
65, 1288
65, 1219
65, 1182
65, 1255
64, 1279
64, 1285
64, 1283
64, 1296
63, 1289
62, 1273
62, 1296
61, 1285
60, 1274
58, 1278
57, 1271
56, 1277
54, 1262
53, 1259
51, 1278
50, 1266
48, 1251
47, 1253
45, 1247
43, 1243
42, 1237
39, 1250
38, 1266
36, 1248
34, 1242
33, 1211
31, 1202
28, 1195
26, 1163
23, 1138
21, 824
19, 1004
17, 1006
15, 982
13, 973
10, 939
8, 776
6, 668
5, 630
4, 680
3, 740
2, 785
2, 764
2, 753
1, 757
1, 749
0, 756
0, 743
0, 746
0, 737
0, 711
0, 714
0, 713
0, 722
0, 1067
0, 1588
2, 1698
5, 1803
7, 1947
10, 2032
12, 2108
15, 2179
16, 2239
18, 2216
21, 2091
22, 2012
23, 1916
25, 1839
26, 1823
27, 1835
28, 1915
30, 2053
31, 2158
33, 2232
34, 2298
36, 2362
38, 2479
40, 2561
