726
0, 714
0, 710
0, 714
0, 710
0, 730
5, 733
5, 726
4, 666
3, 829
18, 1017
18, 1187
18, 1246
19, 650
9, 1745
33, 1695
34, 1571
34, 1608
65, 1865
75, 1857
75, 1867
76, 1657
68, 1635
67, 1606
66, 1589
65, 1323
53, 1267
51, 1226
50, 1178
49, 2235
70, 2232
71, 2139
72, 2012
73, 1824
74, 1934
74, 1943
74, 1946
74, 1340
64, 635
0, 636
0, 638
0, 635
0, 634
0, 632
0, 628
0, 2189
16, 2555
21, 2322
26, 2431
29, 1950
80, 1916
79, 1896
77, 1871
76, 640
18, 653
14, 692
10, 682
6, 3571
72, 3697
75, 3821
78, 3665
79, 2018
82, 1992
81, 1971
80, 1955
79, 1037
44, 942
41, 933
39, 903
37, 630
0, 632
0, 633
0, 629
0, 1953
16, 2147
18, 2086
20, 1882
23, 1235
50, 1215
49, 1500
49, 1725
50, 1695
65, 1757
71, 1753
71, 1750
71, 1798
71, 1762
71, 1693
71, 1731
70, 1740
70, 1745
70, 1742
71, 1750
71, 1396
57, 1373
56, 1347
55, 1328
55, 2082
51, 2162
53, 2243
55, 2272
57, 1859
75, 1846
75, 1835
74, 1775
73, 1964
79, 1953
79, 1735
71, 1711
70, 1207
48, 1109
45, 907
41, 926
38, 2235
43, 1992
45, 1827
47, 1718
48, 1600
63, 1593
63, 1575
64, 1578
64, 1489
64, 1668
64, 1661
64, 1635
64, 1521
62, 1524
62, 1525
62, 1540
62, 1388
56, 1340
54, 1286
52, 1232
49, 626
0, 625
0, 623
0, 631
0, 628
0, 629
0, 628
0, 629
0, 634
0, 628
0, 629
0, 627
0, 1876
32, 1887
34, 1566
36, 1560
37, 870
35, 845
34, 821
32, 805
31, 1267
52, 1263
51, 699
8, 691
6, 1629
24, 1447
25, 1176
25, 1103
26, 1928
51, 1562
63, 1575
64, 1585
64, 1646
67, 1646
67, 1657
67, 1666
68, 1679
68, 1672
67, 68
1691, 69
1775, 72
1770, 72
1764, 72
1767, 71
1762, 60
1621, 61
1525, 62
1550, 63
1639, 66
1637, 66
1631, 66
1633, 66
1492
