1275,10C,664
87,10D,0
68,104,27
56,111,21
57,10B,48
58,10C,693
74,10D,0
55,104,27
57,111,21
56,110,5
57,10C,681
68,10D,0
57,104,27
55,111,21
58,10E,-2
55,10C,681
71,10D,0
54,104,27
57,111,21
55,10C,685
71,10D,0
54,104,26
57,111,21
56,10B,48
57,10C,684
69,10D,0
57,104,26
55,111,21
56,110,5
56,10C,691
70,10D,0
56,104,26
59,111,21
60,10E,-2
56,10C,688
69,10D,0
56,104,25
58,111,21
55,10C,690
70,10D,0
55,104,27
58,111,21
54,10B,47
59,10C,687
75,10D,0
54,104,27
57,111,21
55,110,5
61,10C,677
72,10D,0
57,104,27
55,111,21
64,10E,-2
55,10C,684
75,10D,0
56,104,27
57,111,21
57,10C,669
68,10D,0
57,104,27
55,111,21
56,10B,48
58,10C,682
67,10D,0
57,104,27
59,111,21
59,110,5
57,10C,680
68,10D,0
57,104,26
57,111,21
56,10E,-3
57,10C,688
68,10D,0
56,104,27
57,111,21
62,10C,677
69,10D,0
56,104,27
57,111,21
56,10B,47
56,10C,680
69,10D,0
58,104,27
54,111,21
58,110,5
55,10C,683
70,10D,0
55,104,27
57,111,21
56,10E,-4
56,10C,689
69,10D,0
56,104,27
56,111,21
58,10C,685
68,10D,0
56,104,27
57,111,21
56,10B,47
55,10C,671
70,10D,0
56,104,27
75,111,21
63,110,5
56,10C,683
68,10D,0
57,104,26
56,111,21
63,10E,-1
56,10C,674
70,10D,0
56,104,26
55,111,21
57,10C,687
69,10D,0
56,104,27
57,111,21
56,10B,47
56,10C,684
69,10D,0
56,104,27
57,111,21
56,110,5
57,10C,684
68,10D,0
56,104,27
57,111,21
56,10E,-3
56,10C,689
71,10D,0
54,104,26
56,111,21
58,10C,674
67,10D,0
58,104,27
57,111,21
60,10B,47
57,10C,674
68,10D,0
58,104,27
56,111,21
56,110,5
57,10C,667
68,10D,0
57,104,26
56,111,21
57,10E,-3
56,10C,686
69,10D,0
55,104,27
57,111,21
56,10C,692
69,10D,0
56,104,27
63,111,21
56,10B,47
56,10C,672
75,10D,0
58,104,27
55,111,21
56,110,5
56,10C,666
69,10D,0
58,104,26
58,111,21
54,10E,-3
55,10C,699
70,10D,0
56,104,26
56,111,21
63,10C,702
70,10D,0
55,104,26
56,111,21
56,10B,47
58,10C,689
67,10D,0
58,104,26
55,111,21
56,110,5
57,10C,671
68,10D,0
57,104,26
59,111,21
59,10E,-3
57,10C,677
75,10D,0
57,104,26
56,111,21
55,10C,673
70,10D,0
56,104,25
57,111,21
62,10B,47
56,10C,686
69,10D,0
56,104,25
57,111,21
62,110,5
56,10C,680
69,10D,0
56,104,27
57,111,21
59,10E,-3
53,10C,686
95,10D,0
56,104,27
58,111,21
54,10C,676
71,10D,0
54,104,26
58,111,21
55,10B,48
56,10C,672
69,10D,0
56,104,27
57,111,21
62,110,5
56,10C,678
70,10D,0
55,104,27
57,111,21
58,10E,-4
54,10C,677
71,10D,0
55,104,27
56,111,21
57,10C,667
76,10D,0
57,104,25
54,111,21
57,10B,47
56,10C,662
70,10D,0
55,104,25
58,111,21
54,110,5
57,10C,671
69,10D,0
57,104,26
56,111,21
62,10E,-3
57,10C,681
67,10D,0
58,104,25
56,111,21
57,10C,689
68,10D,0
57,104,25
55,111,21
58,10B,47
54,10C,682
70,10D,0
56,104,25
